timestep,x_smoothed_0,P_smoothed_0_0
949,7.28874,0.0780869
950,7.33695,0.0780869
951,7.31561,0.0780869
952,7.35901,0.0780869
953,7.4645,0.0780869
954,7.43347,0.0780869
955,7.3352,0.0780869
956,7.28779,0.0780869
957,7.23126,0.0780869
958,7.15745,0.0780869
959,7.03855,0.0780869
960,6.9052,0.0780869
961,6.7608,0.0780869
962,6.69805,0.0780869
963,6.62684,0.0780869
964,6.5914,0.0780869
965,6.50189,0.0780869
966,6.46992,0.0780869
967,6.34663,0.0780869
968,6.35848,0.0780869
969,6.36964,0.0780869
970,6.3457,0.0780869
971,6.2986,0.0780869
972,6.30852,0.0780869
973,6.276,0.0780869
974,6.30995,0.0780869
975,6.35561,0.0780869
976,6.4422,0.0780869
977,6.48775,0.0780869
978,6.52666,0.078087
979,6.5683,0.0780871
980,6.54612,0.0780872
981,6.45928,0.0780876
982,6.41949,0.0780882
983,6.35665,0.0780893
984,6.34757,0.0780914
985,6.3325,0.0780953
986,6.42201,0.0781027
987,6.49842,0.0781166
988,6.52747,0.0781427
989,6.58019,0.0781917
990,6.49431,0.0782836
991,6.47342,0.0784563
992,6.35027,0.0787803
993,6.31682,0.0793887
994,6.24521,0.0805309
995,6.20787,0.0826751
996,6.16098,0.0867005
997,6.24344,0.0942575
998,6.22239,0.108445
999,6.17344,0.135078
